,title,contract_type,description,salary_max,salary_min,location.display_name,salary_is_predicted,redirect_url,created
0,Dozent für den Bereich Data Science & Data Analytics Remote (m/w/d),,"Wer sind wir Was wäre, wenn du Teil unserer digitalen Revolution sein könntest? Wir wollen die IT-Fachkräfte von morgen ausbilden, wir wollen eine Welt schaffen, in der jeder mit Daten und künstlicher Intelligenz Innovation vorantreiben kann. Mit unseren Kursen wollen wir dem Fachkräftemangel ein Ende setzen und eine neue Generation von Data Science Expert:innen ausbilden. Mit unseren Kursen bieten wir Quereinsteigern die Möglichkeiten, sich das Skill-Set von morgen anzueignen und als Experte i…",,,"Seehausen, Leipzig",0,https://www.adzuna.de/land/ad/3240600225?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=8C2853F351936B440C78374A68C3B95655B0D98E,2022-06-19T02:49:39Z
1,Dateningenieur / Data Engineer (w/m/d),,Für unseren namhaften Kunden suchen wir für die Direktvermittlung Dateningenieur / Data Engineer (w/m/d) für den Standort in Leipzig Ihre Vorteile: Unbefristete Festeinstellung in Vollzeit (38 Std. / Woche). Attraktive Vergütung. Urlaubsgeld  Weihnachtsgeld. Betriebliche Altersvorsorge. Vermögenswirksame Leistungen. 30 Tage Urlaub. Flexible Arbeitszeitmodelle. Gleitzeit. Mobiles Arbeiten möglich (2 Präsenztage). Zahlreiche Weiterbildungsmöglichkeiten. Positive und kooperative Arbeitsatmosphäre …,,,"Zentrum, Leipzig",0,https://www.adzuna.de/land/ad/3243249940?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=5876D51D2AE5100E6A6419DBA4EC144AC705C2A8,2022-06-20T02:50:28Z
2,Dualer Master als Data Analyst - Remote (m/w/d),,"Über das Unternehmen: Wir stehen seit mehr als 20 Jahren für den erfolgreichen Transfer von Expertenwissen zwischen Forschung und Wirtschaft. Dabei haben wir uns auf die Rekrutierung von Nachwuchsführungskräften, für die bedarfsgerechte Weiterentwicklung von Potenzialträgern im Unternehmen und die Umsetzung von IT-Projekten im Consultingbereich spezialisiert. Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise. Unser Projektunternehmen sucht Dic…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3242076575?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=B943A1F00F463B4C1517AC00302B5B61F54FE11B,2022-06-19T17:43:39Z
3,Dualer Master als Data Architect - Remote (m/w/d),,"Über das Unternehmen: Wir stehen seit mehr als 20 Jahren für den erfolgreichen Transfer von Expertenwissen zwischen Forschung und Wirtschaft. Dabei haben wir uns auf die Rekrutierung von Nachwuchsführungskräften, für die bedarfsgerechte Weiterentwicklung von Potenzialträgern im Unternehmen und die Umsetzung von IT-Projekten im Consultingbereich spezialisiert. Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise. Unser Projektunternehmen sucht Dic…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3242077394?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=C58518C4A5AC8648A08B6F543C8F8A2C47A60D48,2022-06-19T17:43:44Z
4,Cloud / Big Data Trainer (m/w/d),,"Wissensvermittlung Internationales Unternehmen mit technischer Expertise FirmenprofilDu siehst Dich als Experte bzw. Expertin, wenn es um Big Data oder Cloud Thematiken geht? Nutze die Chance und vermittle Dein Wissen im Rahmen individuell gestalteter Projekte weiter, indem Du als Trainer (m/w/d) Big Data/Cloud agierst. Diese Position suche ich aktuell für ein Unternehmen, das seine langjährige Expertise aus der Beratungserfahrung nun im Kontext maßgeschneiderter Trainings an Kunden weitervermi…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3243920255?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=03FF14A0DAE4CB592C655C3270DB41D8DAD0C52F,2022-06-20T13:39:09Z
5,"Trainee – Big Data (m/w/d) - Datenbankentwicklung / BI, IT",,"Als inhabergeführtes, unabhängiges Systemhaus versorgen wir Unternehmen aus allen Branchen mit hochwertigen IT-Lösungen. Wir stecken unser ganzes Know-how und viel Begeisterung in unsere Projekte, um das beste Ergebnis für unsere Kunden zu erzielen. Neue Teammitglieder finden oft bei uns ihre berufliche Heimat und bleiben lange. Wer unsere wertschätzende Atmosphäre einmal erlebt hat, möchte sie nicht mehr missen. Heute arbeiten 2.300 Menschen an 26 Standorten bei SVA, und wir wachsen weiter – n…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3243278772?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=9DBF62ECCCDE05C8EAF59F62F9B77BC8E5498BCB,2022-06-20T03:31:59Z
6,Senior Sales Manager (m/w/d) - Data Solutions,,"Global Player im Bereich Data Management und Business Intelligence Hervorragende Aufstiegschancen in spannendem Zukunftsmarkt FirmenprofilFür unseren Klienten, einen international agierenden Data Provider mit Standorten in ganz Europa suchen wir zum nächstmöglichen Zeitpunkt einen engagierten und motivierten (Senior) Sales Manager (m/w/d) mit Erfahrung in der Betreuung von Großkunden im Retail- bzw. E-Commcerce Bereich.Seit Jahrzehnten gilt unser Klient als erste Anlaufstelle für unterschiedlic…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3243921722?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=8CEB77179127D18FFCAFD58748C142A5F49A561D,2022-06-20T13:39:15Z
7,AI Software Engineer - Data Science / Machine Learning (m/w/d),,"Was erwartet dich? Du schaffst Verbindungen: Bei uns laufen riesige Datenmengen aus unzähligen Quellen zusammen. Gleichzeitig verfügen wir über modernste Machine Learning-Lösungen. Du hilfst uns, beides zu verbinden. Du begleitest Machine-Learning Projekte von Beginn an bis hin zum Deployment Du entwirfst, implementierst und optimierst unsere automatisierten Data Processing Pipelines und unterstützt die Arbeit unserer Data Scientists mit Deinen Softwareengineering-Kenntnissen Was solltest du mi…",,,"Seehausen, Leipzig",0,https://www.adzuna.de/land/ad/3240599770?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=57441B7464AE72E8B29A64E1955F901E7488456D,2022-06-19T02:49:38Z
8,(Senior) Account Manager Big Data & KI (m/w/d),,"international etablierter IT-Dienstleister Vertrieb von spannenden, zukunftsweisenden Projekten FirmenprofilMein Mandant ist ein international aufgestellter IT Dienstleister, der zum weiteren Geschäftsausbau der Division Big Data & KI einen erfahrenen und motivierten ""(Senior) Account Manager (m/w/d)"" für den Ausbau des Big Data und KI Geschäfts suchtAufgabengebiet Vollumfängliche Verantwortung für den Auftragseingang von ca. Mio. EUR sowie Mitverantwortung für Umsatz (ca. 8 - 16 Mio. EUR ) und…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3243922468?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=8335935F6EA68A4CDC40F5723362D19FF291059B,2022-06-20T13:39:17Z
9,Softwareentwickler C#.NET (m/w/d) im Bereich Data Analysis,,"Gesucht wird ein C#.NET Softwareentwickler Innovatives R&D und Tech Solution Unternehmen des BASF Konzerns FirmenprofilDas Unternehmen beschleunigt die Forschung und Entwicklung in der Katalyse und macht sie produktiver. Hier entstehen kosteneffiziente Innovationen und kürzere Markteinführungszeiten für neue Produkte. Dadurch sichern sich Kunden aus dem Energie- und Raffineriesektor, der Umweltkatalyse und der chemischen und petrochemischen Branche einen Wettbewerbsvorteil. Das Technologie- und…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3243922744?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=0F493185BB5986BDAFE942934619D314B9292471,2022-06-20T13:39:18Z
10,Presales Consultant Big Data & Artificial Intelligence (m/w/d),,"international erfolgreicher IT-Dienstleister spannende, zukunftsweisende Technologie-Projekte FirmenprofilMein Mandant ist ein international aufgestellter IT-Dienstleister, der zum weiteren Geschäftsausbau der Division Big Data & Security Deutschland einen erfahrenen und motivierten ""Presales Consultant Big Data, AI (m/w/d)"" für den Ausbau des KI-Plattform Geschäfts, sowie im Big Data Umfeld sucht.Aufgabengebiet Erkennen der Kundenbedürfnisse im Bereich Big Data - speziell im Edge Computing, Du…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3243922853?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=300EEE5E8AF40AD6396DF8A17CE0076BE9E6F33F,2022-06-20T13:39:18Z
11,"Trainee Cloud & Data Dive In (m/w/d) - Dein Einstieg in Cloud Consulting & Engineering - Datenbankentwicklung / BI, System Engineering / Admin, IT",,"Du machst den Unterschied. Ob im Business Audit & Assurance, Risk Advisory, Tax & Legal, Financial Advisory oder Consulting: Wir bei Deloitte unterstützen unsere weltweiten Mandanten dabei, sich kontinuierlich weiterzuentwickeln. Entdecke ein vielfältiges Arbeitsumfeld, das ständig in Bewegung ist und immer um ein Zentrum kreist: dich und dein Know-how. What impact will you make? Du absolvierst ein mehrmonatiges Cloud Trainings- und Praxisprogramm, in welchem du erste Zertifizierungsprüfungen d…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3240640031?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=CC808779E182601C960A0693E73E225DE13A364B,2022-06-19T03:31:52Z
12,Frontend Entwickler (m/w/d) Schwerpunkt Data Analytics,,"Du interessierst Dich für die neuste Informationstechnologie und Softwareprozesse? Neue Projekte und abwechslungsreiche Herausforderungen rund um die Themen IoT, Data Science und Programmierung sind genau das Richtige für Dich? Wir bieten Dir die Chance mit spannenden Aufgaben zu wachsen. Ob Softwareentwicklung, Systemadministration oder Webentwicklung, wir suchen Menschen mit Leidenschaft für die Informatik und das Coden.Das werden deine Aufgaben sein: Verantwortung für die Entwicklung, Optimi…",,,"Paunsdorf, Leipzig",0,https://www.adzuna.de/land/ad/3243862161?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=BD7BE9BD909CE264CA2BC8143D957C7F9F7EDF3C,2022-06-20T12:37:26Z
13,Business Intelligence Architect - Data / Python / SQL (m/w/d),,"Über das Unternehmen: Wir kennen, sind und leben Beratung bei Top Kunden Daten sind Teil unserer DNA, denn wir glauben an deren Einfluss auf Unternehmensentscheidungen. Daten analysieren, daraus Informationen strukturiert zur Verfügung stellen, nachhaltig nutzbar machen und Menschen für die Prozesse sensibilisieren sowie begeistern. Was wir machen, hat Hand und Fuß und wird bei Kunden täglich produktiv eingesetzt. Wir agieren als unabhängiges Beratungsunternehmen und stellen die lösungsorientie…",,,"Leipzig, Leipzig (Kreis)",0,https://www.adzuna.de/land/ad/3240763004?se=Jqkuy6fw7BGUA-qKGu5MPQ&utm_medium=api&utm_source=e27c0930&v=52DC7C48FBDAB854C78644F6B57A88CD351D3C0E,2022-06-19T05:40:01Z
